1819729	r	113.8171,22.1367,114.5024,22.5683	[[[1138171,222171,153,-332,642,-414,258,-58,172,118,2964,0,192,-99,288,99,2184,0,0,2166,-475,1036,2,763,-211,170,-1010,63,-239,-16,-331,-12,-273,-98,-116,-50,-35,-70,-73,0,-8,15,17,19,75,91,-49,-4,-91,-7,-19,1,-9,8,-11,-7,-43,2,-12,10,-7,-6,-21,10,-68,-8,-2,0,-9,14,-16,-9,-29,4,0,-8,-131,0,-98,77,-108,-32,-9,13,-31,-29,-17,-40,-19,-7,-28,3,-4,-29,-17,-13,-3,-18,5,-8,16,1,2,-11,-32,-27,-4,-24,-37,-6,-6,8,-60,16,-36,-20,-40,2,-21,-20,-29,0,-31,-19,-21,-28,-34,-9,-12,-30,-34,-16,7,3,-45,45,-26,0,-15,6,-50,-6,-25,0,-41,25,-31,-2,-44,-43,-71,-26,-42,-106,-46,-18,-45,-6,-23,-13,-30,-22,-15,-21,-16,-65,-4,-3,-65,-16,-87,23,-154,17,-87,-48,-55,-13,-36,17,-75,66,-20,10,-29,2,-474,-378,-787,-436,0,-955,-217,-602,-84,-54,-219,-506]]]
12747063	p	1819729
1819609	p	1819729
12747064	p	1819729
1931681	p	1819729
1818446	p	1819729
1818920	p	1819729
1818953	p	1819729
1818304	p	1819729
1819607	p	1819729
1818506	p	1819729
1819595	p	1819729
1818209	p	1819729
1818558	p	1819729
1818673	p	1819729
1819873	p	1819729
1819400	p	1819729
1818222	p	1819729
1818225	p	1819729
13308632	p	1819729
1818483	p	1819729
1818223	p	1819729
1818379	p	1819729
1819757	p	1819729
1819283	p	1819729
11101593	p	1819729
1818916	p	1819729
12719430	p	1819729
1819091	p	1819729
12689055	p	1819729
13308633	p	1819729
1819353	p	1819729
1818781	p	1819729
1818972	p	1819729
1818550	p	1819729
12719433	p	1819729
1819050	p	1819729
1819577	p	1819729
