1880252	n	103.6404,1.2643,104.0034,1.4487	[[[1036404,13223,72,-139,177,-43,435,11,26,-2,-1,-78,6,0,0,24,100,-1,-15,3,5,14,-37,31,41,-4,12,-11,54,-27,19,15,110,-28,14,13,12,-3,7,-1,-4,-7,5,-10,50,-17,36,4,1,6,1,-5,21,3,1,0,150,-69,57,-26,85,-137,52,-60,105,-27,15,-4,244,-5,129,20,21,9,31,13,28,34,58,54,252,172,98,68,123,47,72,27,198,22,49,6,225,66,42,34,163,130,170,204,30,51,85,142,-39,61,-138,51,-249,57,-108,38,-175,62,-18,9,2,1,4,11,-80,80,-39,26,-30,34,-23,-9,-10,43,-24,11,-75,-18,-31,-21,-3,-4,-271,135,-155,78,-40,13,-216,71,-224,13,-43,2,-3,-1,-146,-42,-213,-102,-65,-31,-199,-25,-25,-4,-219,29,-96,-16,-132,-81,-82,-83,-31,-31,-49,-107,-43,-189,-285,-403,-14,-20,-43,-157],[1039150,13517,0,83,233,117,103,-103,-9,-5,-96,-5,-1,-46,24,0,9,-6,4,-35,-67,-67,-200,67]]]
1880159	p	1880252
1884382	p	1880252
7289760	p	1880252
1880216	p	1880252
1881953	p	1880252
1882115	p	1880252
1882316	p	1880252
1881955	p	1880252
1882155	p	1880252
1881948	p	1880252
1880348	p	1880252
1884737	p	1880252
1884365	p	1880252
1881921	p	1880252
1880750	p	1880252
1880574	p	1880252
1884367	p	1880252
1880594	p	1880252
1880176	p	1880252
1880271	p	1880252
1882101	p	1880252
1880668	p	1880252
1880283	p	1880252
1884386	p	1880252
1880628	p	1880252
1884384	p	1880252
1881919	p	1880252
1880744	p	1880252
1881952	p	1880252
1884385	p	1880252
7281987	p	1880252
1880463	p	1880252
